"passengerid","survived","pclass","sex","age","sibsp","parch","fare","embarked","title","deck","ageclass","familysize"
645,"yes","3","female",0.75,2,1,19.2583,"C","Miss.","U","child",4
859,"yes","3","female",24,0,3,19.2583,"C","Mrs.","U","adult",4
876,"yes","3","female",15,0,0,7.225,"C","Miss.","U","teen",1
1309,NA,"3","male",9.8,1,1,22.3583,"C","Master.","F","child",3
534,"yes","3","female",63.5,0,2,22.3583,"C","Mrs.","F","senior",3
129,"yes","3","female",22.7,1,1,22.3583,"C","Miss.","F","adult",3
61,"no","3","male",22,0,0,7.2292,"C","Mr.","U","adult",1
1063,NA,"3","male",27,0,0,7.225,"C","Mr.","U","adult",1
237,"no","2","male",44,1,0,26,"S","Mr.","U","adult",2
1140,NA,"2","female",29,1,0,26,"S","Mrs.","U","adult",2
833,"no","3","male",28.1,0,0,7.2292,"C","Mr.","U","adult",1
694,"no","3","male",25,0,0,7.225,"C","Mr.","U","adult",1
1065,NA,"3","male",30,0,0,7.2292,"C","Mr.","U","adult",1
774,"no","3","male",46.3,0,0,7.225,"C","Mr.","U","adult",1
1229,NA,"3","male",39,0,2,7.2292,"C","Mr.","U","adult",3
1166,NA,"3","male",27.5,0,0,7.225,"C","Mr.","U","adult",1
37,"yes","3","male",43.5,0,0,7.2292,"C","Mr.","U","adult",1
141,"no","3","female",25.9,0,2,15.2458,"C","Mrs.","U","adult",3
853,"no","3","female",9,1,1,15.2458,"C","Miss.","U","child",3
972,NA,"3","male",6,1,1,15.2458,"C","Master.","U","child",3
1129,NA,"3","male",20,0,0,7.225,"C","Mr.","U","adult",1
74,"no","3","male",26,1,0,14.4542,"C","Mr.","U","adult",2
1007,NA,"3","male",18,1,0,14.4542,"C","Mr.","U","teen",2
1008,NA,"3","male",34.5,0,0,6.4375,"C","Mr.","U","adult",1
927,NA,"3","male",18.5,0,0,7.2292,"C","Mr.","U","teen",1
844,"no","3","male",34.5,0,0,6.4375,"C","Mr.","U","adult",1
1224,NA,"3","male",26.3,0,0,7.225,"C","Mr.","U","adult",1
799,"no","3","male",30,0,0,7.2292,"C","Mr.","U","adult",1
569,"no","3","male",26.3,0,0,7.2292,"C","Mr.","U","adult",1
781,"yes","3","female",13,0,0,7.2292,"C","Miss.","U","teen",1
1239,NA,"3","female",38,0,0,7.2292,"C","Mrs.","U","adult",1
579,"no","3","female",23.5,1,0,14.4583,"C","Mrs.","U","adult",2
1258,NA,"3","male",33.8,1,0,14.4583,"C","Mr.","U","adult",2
533,"no","3","male",17,1,1,7.2292,"C","Mr.","U","teen",3
363,"no","3","female",45,0,1,14.4542,"C","Mrs.","U","adult",2
703,"no","3","female",18,0,1,14.4542,"C","Miss.","U","teen",2
909,NA,"3","male",21,0,0,7.225,"C","Mr.","U","adult",1
297,"no","3","male",23.5,0,0,7.2292,"C","Mr.","U","adult",1
245,"no","3","male",30,0,0,7.225,"C","Mr.","U","adult",1
353,"no","3","male",15,1,1,7.2292,"C","Mr.","U","teen",3
911,NA,"3","female",45,0,0,7.225,"C","Mrs.","U","adult",1
58,"no","3","male",28.5,0,0,7.2292,"C","Mr.","U","adult",1
919,NA,"3","male",22.5,0,0,7.225,"C","Mr.","U","adult",1
208,"yes","3","male",26,0,0,18.7875,"C","Mr.","U","adult",1
732,"no","3","male",11,0,0,18.7875,"C","Mr.","U","teen",1
525,"no","3","male",22,0,0,7.2292,"C","Mr.","U","adult",1
631,"yes","1","male",80,0,0,30,"S","Mr.","A","senior",1
124,"yes","2","female",32.5,0,0,13,"S","Miss.","E","adult",1
388,"yes","2","female",36,0,0,13,"S","Miss.","U","adult",1
1209,NA,"2","male",19,0,0,10.5,"S","Mr.","U","teen",1
1099,NA,"2","male",24,0,0,10.5,"S","Mr.","U","adult",1
1262,NA,"2","male",21,1,0,11.5,"S","Mr.","U","adult",2
862,"no","2","male",21,1,0,11.5,"S","Mr.","U","adult",2
813,"no","2","male",35,0,0,10.5,"S","Mr.","U","adult",1
796,"no","2","male",39,0,0,13,"S","Mr.","U","adult",1
417,"yes","2","female",34,1,1,32.5,"S","Mrs.","U","adult",3
1086,NA,"2","male",8,0,2,32.5,"S","Master.","U","child",3
1139,NA,"2","male",42,1,1,32.5,"S","Mr.","U","adult",3
1081,NA,"2","male",40,0,0,13,"S","Mr.","U","adult",1
419,"no","2","male",30,0,0,13,"S","Mr.","U","adult",1
583,"no","2","male",54,0,0,26,"S","Mr.","U","adult",1
398,"no","2","male",46,0,0,26,"S","Mr.","U","adult",1
1150,NA,"2","female",19,0,0,13,"S","Miss.","U","teen",1
192,"no","2","male",19,0,0,13,"S","Mr.","U","teen",1
734,"no","2","male",23,0,0,13,"S","Mr.","U","adult",1
328,"yes","2","female",36,0,0,13,"S","Mrs.","D","adult",1
406,"no","2","male",34,1,0,21,"S","Mr.","U","adult",2
1293,NA,"2","male",38,1,0,21,"S","Mr.","U","adult",2
239,"no","2","male",19,0,0,10.5,"S","Mr.","U","teen",1
1298,NA,"2","male",23,1,0,10.5,"S","Mr.","U","adult",2
318,"no","2","male",54,0,0,14,"S","Mr.","U","adult",1
544,"yes","2","male",32,1,0,26,"S","Mr.","U","adult",2
547,"yes","2","female",19,1,0,26,"S","Mrs.","U","teen",2
1154,NA,"2","female",29,0,2,23,"S","Mrs.","U","adult",3
981,NA,"2","male",2,1,1,23,"S","Master.","U","child",3
751,"yes","2","female",4,1,1,23,"S","Miss.","U","child",3
530,"no","2","male",23,2,1,11.5,"S","Mr.","U","adult",4
944,NA,"2","female",20,2,1,23,"S","Miss.","U","adult",4
775,"yes","2","female",54,1,3,23,"S","Mrs.","U","adult",5
408,"yes","2","male",3,1,1,18.75,"S","Master.","U","child",3
438,"yes","2","female",24,2,3,18.75,"S","Mrs.","U","adult",6
832,"yes","2","male",0.83,1,1,18.75,"S","Master.","U","child",3
1269,NA,"2","male",21,0,0,11.5,"S","Mr.","U","adult",1
758,"no","2","male",18,0,0,11.5,"S","Mr.","U","teen",1
54,"yes","2","female",29,1,0,26,"S","Mrs.","U","adult",2
1169,NA,"2","male",40,1,0,26,"S","Mr.","U","adult",2
671,"yes","2","female",40,1,1,39,"S","Mrs.","U","adult",3
685,"no","2","male",60,1,1,39,"S","Mr.","U","senior",3
1067,NA,"2","female",15,0,2,39,"S","Miss.","U","teen",3
659,"no","2","male",23,0,0,13,"S","Mr.","U","adult",1
203,"no","3","male",34,0,0,6.4958,"S","Mr.","U","adult",1
787,"yes","3","female",18,0,0,7.4958,"S","Miss.","U","teen",1
1124,NA,"3","male",21,1,0,6.4958,"S","Mr.","U","adult",2
372,"no","3","male",18,1,0,6.4958,"S","Mr.","U","teen",2
105,"no","3","male",37,2,0,7.925,"S","Mr.","U","adult",3
393,"no","3","male",28,2,0,7.925,"S","Mr.","U","adult",3
86,"yes","3","female",33,3,0,15.85,"S","Mrs.","U","adult",4
207,"no","3","male",32,1,0,15.85,"S","Mr.","U","adult",2
69,"yes","3","female",17,4,2,7.925,"S","Miss.","U","teen",7
51,"no","3","male",7,4,1,39.6875,"S","Master.","U","child",6
825,"no","3","male",2,4,1,39.6875,"S","Master.","U","child",6
165,"no","3","male",1,4,1,39.6875,"S","Master.","U","child",6
267,"no","3","male",16,4,1,39.6875,"S","Mr.","U","teen",6
639,"no","3","female",41,0,5,39.6875,"S","Mrs.","U","adult",6
687,"no","3","male",14,4,1,39.6875,"S","Mr.","U","teen",6
1259,NA,"3","female",22,0,0,39.6875,"S","Miss.","U","adult",1
529,"no","3","male",39,0,0,7.925,"S","Mr.","U","adult",1
964,NA,"3","female",29,0,0,7.925,"S","Miss.","U","adult",1
480,"yes","3","female",2,0,1,12.2875,"S","Miss.","U","child",2
896,NA,"3","female",22,1,1,12.2875,"S","Mrs.","U","adult",3
477,"no","2","male",34,1,0,21,"S","Mr.","U","adult",2
727,"yes","2","female",30,3,0,21,"S","Mrs.","U","adult",4
620,"no","2","male",26,0,0,10.5,"S","Mr.","U","adult",1
108,"yes","3","male",21.7,0,0,7.775,"S","Mr.","U","adult",1
409,"no","3","male",21,0,0,7.775,"S","Mr.","U","adult",1
668,"no","3","male",43.8,0,0,7.775,"S","Mr.","U","adult",1
347,"yes","2","female",40,0,0,13,"S","Miss.","U","adult",1
159,"no","3","male",45.6,0,0,8.6625,"S","Mr.","U","adult",1
423,"no","3","male",29,0,0,7.875,"S","Mr.","U","adult",1
1255,NA,"3","male",27,0,0,8.6625,"S","Mr.","U","adult",1
535,"no","3","female",30,0,0,8.6625,"S","Miss.","U","adult",1
1172,NA,"3","female",23,0,0,8.6625,"S","Miss.","U","adult",1
501,"no","3","male",17,0,0,8.6625,"S","Mr.","U","teen",1
929,NA,"3","female",21,0,0,8.6625,"S","Miss.","U","adult",1
350,"no","3","male",42,0,0,8.6625,"S","Mr.","U","adult",1
472,"no","3","male",38,0,0,8.6625,"S","Mr.","U","adult",1
845,"no","3","male",17,0,0,8.6625,"S","Mr.","U","teen",1
1202,NA,"3","male",18,0,0,8.6625,"S","Mr.","U","teen",1
1195,NA,"3","male",24,0,0,8.6625,"S","Mr.","U","adult",1
164,"no","3","male",17,0,0,8.6625,"S","Mr.","U","teen",1
726,"no","3","male",20,0,0,8.6625,"S","Mr.","U","adult",1
1161,NA,"3","male",17,0,0,8.6625,"S","Mr.","U","teen",1
405,"no","3","female",20,0,0,8.6625,"S","Miss.","U","adult",1
837,"no","3","male",21,0,0,8.6625,"S","Mr.","U","adult",1
822,"yes","3","male",27,0,0,8.6625,"S","Mr.","U","adult",1
70,"no","3","male",26,2,0,8.6625,"S","Mr.","U","adult",3
1268,NA,"3","female",22,2,0,8.6625,"S","Miss.","U","adult",3
185,"yes","3","female",4,0,2,22.025,"S","Miss.","U","child",3
1286,NA,"3","male",29,3,1,22.025,"S","Mr.","U","adult",5
1057,NA,"3","female",26,1,1,22.025,"S","Mrs.","U","adult",3
895,NA,"3","male",27,0,0,8.6625,"S","Mr.","U","adult",1
1111,NA,"3","male",27,0,0,8.05,"S","Mr.","U","adult",1
471,"no","3","male",27.2,0,0,7.25,"S","Mr.","U","adult",1
373,"no","3","male",19,0,0,8.05,"S","Mr.","U","teen",1
113,"no","3","male",22,0,0,8.05,"S","Mr.","U","adult",1
1005,NA,"3","female",18.5,0,0,7.2833,"Q","Miss.","U","teen",1
978,NA,"3","female",27,0,0,7.8792,"Q","Miss.","U","adult",1
6,"no","3","male",40.2,0,0,8.4583,"Q","Mr.","U","adult",1
503,"no","3","female",12.1,0,0,7.6292,"Q","Miss.","U","teen",1
1273,NA,"3","male",26,0,0,7.8792,"Q","Mr.","U","adult",1
892,NA,"3","male",34.5,0,0,7.8292,"Q","Mr.","U","adult",1
654,"yes","3","female",38.9,0,0,7.8292,"Q","Miss.","U","adult",1
998,NA,"3","male",21,0,0,7.8208,"Q","Mr.","U","adult",1
23,"yes","3","female",15,0,0,8.0292,"Q","Miss.","U","teen",1
1108,NA,"3","female",11.4,0,0,7.8792,"Q","Miss.","U","teen",1
359,"yes","3","female",35.2,0,0,7.8792,"Q","Miss.","U","adult",1
83,"yes","3","female",11,0,0,7.7875,"Q","Miss.","U","teen",1
681,"no","3","female",18.7,0,0,8.1375,"Q","Miss.","U","teen",1
45,"yes","3","female",19,0,0,7.8792,"Q","Miss.","U","teen",1
29,"yes","3","female",19.4,0,0,7.8792,"Q","Miss.","U","teen",1
958,NA,"3","female",18,0,0,7.8792,"Q","Miss.","U","teen",1
1003,NA,"3","female",10,0,0,7.7792,"Q","Miss.","U","teen",1
1125,NA,"3","male",41.7,0,0,7.8792,"Q","Mr.","U","adult",1
898,NA,"3","female",30,0,0,7.6292,"Q","Miss.","U","adult",1
553,"no","3","male",34.4,0,0,7.8292,"Q","Mr.","U","adult",1
360,"yes","3","female",20.2,0,0,7.8792,"Q","Miss.","U","adult",1
630,"no","3","male",33.4,0,0,7.7333,"Q","Mr.","U","adult",1
955,NA,"3","female",22,0,0,7.725,"Q","Miss.","U","adult",1
1300,NA,"3","female",11.8,0,0,7.7208,"Q","Miss.","U","teen",1
750,"no","3","male",31,0,0,7.75,"Q","Mr.","U","adult",1
1052,NA,"3","female",47.4,0,0,7.7333,"Q","Miss.","U","adult",1
33,"yes","3","female",26,0,0,7.75,"Q","Miss.","U","adult",1
1266,NA,"1","female",54,1,1,81.8583,"S","Mrs.","A","adult",3
1185,NA,"1","male",53,1,1,81.8583,"S","Mr.","A","adult",3
446,"yes","1","male",4,0,2,81.8583,"S","Master.","A","child",3
281,"no","3","male",65,0,0,7.75,"Q","Mr.","U","senior",1
1000,NA,"3","male",40.8,0,0,8.7125,"S","Mr.","U","adult",1
585,"no","3","male",28.4,0,0,8.7125,"C","Mr.","U","adult",1
402,"no","3","male",26,0,0,8.05,"S","Mr.","U","adult",1
718,"yes","2","female",27,0,0,10.5,"S","Miss.","E","adult",1
1021,NA,"3","male",24,0,0,8.05,"S","Mr.","U","adult",1
1113,NA,"3","male",21,0,0,8.05,"S","Mr.","U","adult",1
928,NA,"3","female",20.5,0,0,8.05,"S","Miss.","U","adult",1
677,"no","3","male",24.5,0,0,8.05,"S","Mr.","U","adult",1
416,"no","3","female",38.7,0,0,8.05,"S","Mrs.","U","adult",1
107,"yes","3","female",21,0,0,7.65,"S","Miss.","U","adult",1
1055,NA,"3","male",49.2,0,0,7,"S","Mr.","U","adult",1
90,"no","3","male",24,0,0,8.05,"S","Mr.","U","adult",1
91,"no","3","male",29,0,0,8.05,"S","Mr.","U","adult",1
327,"no","3","male",61,0,0,6.2375,"S","Mr.","U","senior",1
983,NA,"3","male",40.4,0,0,7.775,"S","Mr.","U","adult",1
1151,NA,"3","male",21,0,0,7.775,"S","Mr.","U","adult",1
560,"yes","3","female",36,1,0,17.4,"S","Mrs.","U","adult",2
1152,NA,"3","male",36.5,1,0,17.4,"S","Mr.","U","adult",2
19,"no","3","female",31,1,0,18,"S","Mrs.","U","adult",2
1037,NA,"3","male",31,3,0,18,"S","Mr.","U","adult",4
39,"no","3","female",18,2,0,18,"S","Miss.","U","teen",3
334,"no","3","male",16,2,0,18,"S","Mr.","U","teen",3
874,"no","3","male",47,0,0,9,"S","Mr.","U","adult",1
81,"no","3","male",22,0,0,9,"S","Mr.","U","adult",1
930,NA,"3","male",25,0,0,9.5,"S","Mr.","U","adult",1
442,"no","3","male",20,0,0,9.5,"S","Mr.","U","adult",1
201,"no","3","male",28,0,0,9.5,"S","Mr.","U","adult",1
1186,NA,"3","male",36,0,0,9.5,"S","Mr.","U","adult",1
420,"no","3","female",10,0,2,24.15,"S","Miss.","U","teen",3
800,"no","3","female",30,1,1,24.15,"S","Mrs.","U","adult",3
596,"no","3","male",36,1,1,24.15,"S","Mr.","U","adult",3
287,"yes","3","male",30,0,0,9.5,"S","Mr.","U","adult",1
1146,NA,"3","male",32.5,0,0,9.5,"S","Mr.","U","adult",1
869,"no","3","male",20.3,0,0,9.5,"S","Mr.","U","adult",1
283,"no","3","male",16,0,0,9.5,"S","Mr.","U","teen",1
82,"yes","3","male",29,0,0,9.5,"S","Mr.","U","adult",1
753,"no","3","male",33,0,0,9.5,"S","Mr.","U","adult",1
771,"no","3","male",24,0,0,9.5,"S","Mr.","U","adult",1
356,"no","3","male",28,0,0,9.5,"S","Mr.","U","adult",1
478,"no","3","male",29,1,0,7.0458,"S","Mr.","U","adult",2
1135,NA,"3","male",27.5,0,0,7.8875,"S","Mr.","U","adult",1
252,"no","3","female",29,1,1,10.4625,"S","Mrs.","G","adult",3
206,"no","3","female",2,0,1,10.4625,"S","Miss.","G","child",2
852,"no","3","male",74,0,0,7.775,"S","Mr.","U","senior",1
130,"no","3","male",45,0,0,6.975,"S","Mr.","U","adult",1
720,"no","3","male",33,0,0,7.775,"S","Mr.","U","adult",1
806,"no","3","male",31,0,0,7.775,"S","Mr.","U","adult",1
407,"no","3","male",51,0,0,7.75,"S","Mr.","U","adult",1
1290,NA,"3","male",22,0,0,7.775,"S","Mr.","U","adult",1
1089,NA,"3","female",18,0,0,7.775,"S","Miss.","U","teen",1
232,"no","3","male",29,0,0,7.775,"S","Mr.","U","adult",1
163,"no","3","male",26,0,0,7.775,"S","Mr.","U","adult",1
380,"no","3","male",19,0,0,7.775,"S","Mr.","U","teen",1
995,NA,"3","male",26,0,0,7.775,"S","Mr.","U","adult",1
247,"no","3","female",25,0,0,7.775,"S","Miss.","U","adult",1
1064,NA,"3","male",23,1,0,13.9,"S","Mr.","U","adult",2
982,NA,"3","female",22,1,0,13.9,"S","Mrs.","U","adult",2
277,"no","3","female",45,0,0,7.75,"S","Miss.","U","adult",1
765,"no","3","male",16,0,0,7.775,"S","Mr.","U","teen",1
1212,NA,"3","male",26,0,0,7.775,"S","Mr.","U","adult",1
443,"no","3","male",25,1,0,7.775,"S","Mr.","U","adult",2
26,"yes","3","female",38,1,5,31.3875,"S","Mrs.","U","adult",7
183,"no","3","male",9,4,2,31.3875,"S","Master.","U","child",7
234,"yes","3","female",5,4,2,31.3875,"S","Miss.","U","child",7
262,"yes","3","male",3,4,2,31.3875,"S","Master.","U","child",7
1066,NA,"3","male",40,1,5,31.3875,"S","Mr.","U","adult",7
1046,NA,"3","male",13,4,2,31.3875,"S","Master.","U","teen",7
1271,NA,"3","male",5,4,2,31.3875,"S","Master.","U","child",7
776,"no","3","male",18,0,0,7.75,"S","Mr.","U","teen",1
1192,NA,"3","male",32,0,0,7.775,"S","Mr.","U","adult",1
617,"no","3","male",34,1,1,14.4,"S","Mr.","U","adult",3
424,"no","3","female",28,1,1,14.4,"S","Mrs.","U","adult",3
1093,NA,"3","male",0.33,0,2,14.4,"S","Master.","U","child",3
142,"yes","3","female",22,0,0,7.75,"S","Miss.","U","adult",1
14,"no","3","male",39,1,5,31.275,"S","Mr.","U","adult",7
120,"no","3","female",2,4,2,31.275,"S","Miss.","U","child",7
542,"no","3","female",9,4,2,31.275,"S","Miss.","U","child",7
814,"no","3","female",6,4,2,31.275,"S","Miss.","U","child",7
851,"no","3","male",4,4,2,31.275,"S","Master.","U","child",7
543,"no","3","female",11,4,2,31.275,"S","Miss.","U","teen",7
611,"no","3","female",39,1,5,31.275,"S","Mrs.","U","adult",7
268,"yes","3","male",25,1,0,7.775,"S","Mr.","U","adult",2
555,"yes","3","female",22,0,0,7.775,"S","Miss.","U","adult",1
1304,NA,"3","female",28,0,0,7.775,"S","Miss.","U","adult",1
808,"no","3","female",18,0,0,7.775,"S","Miss.","U","teen",1
64,"no","3","male",4,3,2,27.9,"S","Master.","U","child",6
168,"no","3","female",45,1,4,27.9,"S","Mrs.","U","adult",6
361,"no","3","male",40,1,4,27.9,"S","Mr.","U","adult",6
820,"no","3","male",10,3,2,27.9,"S","Master.","U","teen",6
635,"no","3","female",9,3,2,27.9,"S","Miss.","U","child",6
643,"no","3","female",2,3,2,27.9,"S","Miss.","U","child",6
805,"yes","3","male",27,0,0,6.975,"S","Mr.","U","adult",1
954,NA,"3","male",18,0,0,7.75,"S","Mr.","U","teen",1
1106,NA,"3","female",38,4,2,7.775,"S","Miss.","U","adult",7
811,"no","3","male",26,0,0,7.8875,"S","Mr.","U","adult",1
282,"no","3","male",28,0,0,7.8542,"S","Mr.","U","adult",1
1087,NA,"3","male",33,0,0,7.8542,"S","Mr.","U","adult",1
92,"no","3","male",20,0,0,7.8542,"S","Mr.","U","adult",1
1191,NA,"3","male",29,0,0,7.8542,"S","Mr.","U","adult",1
834,"no","3","male",23,0,0,7.8542,"S","Mr.","U","adult",1
1049,NA,"3","female",23,0,0,7.8542,"S","Miss.","U","adult",1
316,"yes","3","female",26,0,0,7.8542,"S","Miss.","U","adult",1
990,NA,"3","female",20,0,0,7.8542,"S","Miss.","U","adult",1
9,"yes","3","female",27,0,2,11.1333,"S","Mrs.","U","adult",3
173,"yes","3","female",1,1,1,11.1333,"S","Miss.","U","child",3
870,"yes","3","male",4,1,1,11.1333,"S","Master.","U","child",3
632,"no","3","male",51,0,0,7.0542,"S","Mr.","U","adult",1
700,"no","3","male",42,0,0,7.65,"S","Mr.","F","adult",1
949,NA,"3","male",25,0,0,7.65,"S","Mr.","F","adult",1
76,"no","3","male",25,0,0,7.65,"S","Mr.","F","adult",1
716,"no","3","male",19,0,0,7.65,"S","Mr.","F","teen",1
1237,NA,"3","female",16,0,0,7.65,"S","Miss.","U","teen",1
739,"no","3","male",56.4,0,0,7.8958,"S","Mr.","U","adult",1
1187,NA,"3","male",26,0,0,7.8958,"S","Mr.","U","adult",1
795,"no","3","male",25,0,0,7.8958,"S","Mr.","U","adult",1
754,"no","3","male",23,0,0,7.8958,"S","Mr.","U","adult",1
567,"no","3","male",19,0,0,7.8958,"S","Mr.","U","teen",1
288,"no","3","male",22,0,0,7.8958,"S","Mr.","U","adult",1
106,"no","3","male",28,0,0,7.8958,"S","Mr.","U","adult",1
77,"no","3","male",24.3,0,0,7.8958,"S","Mr.","U","adult",1
515,"no","3","male",24,0,0,7.4958,"S","Mr.","U","adult",1
664,"no","3","male",36,0,0,7.4958,"S","Mr.","U","adult",1
963,NA,"3","male",21,0,0,7.8958,"S","Mr.","U","adult",1
878,"no","3","male",19,0,0,7.8958,"S","Mr.","U","teen",1
848,"no","3","male",35,0,0,7.8958,"C","Mr.","U","adult",1
602,"no","3","male",41.2,0,0,7.8958,"S","Mr.","U","adult",1
102,"no","3","male",24.5,0,0,7.8958,"S","Mr.","U","adult",1
30,"no","3","male",30,0,0,7.8958,"S","Mr.","U","adult",1
879,"no","3","male",16.5,0,0,7.8958,"S","Mr.","U","teen",1
740,"no","3","male",41,0,0,7.8958,"S","Mr.","U","adult",1
322,"no","3","male",27,0,0,7.8958,"S","Mr.","U","adult",1
902,NA,"3","male",34.2,0,0,7.8958,"S","Mr.","U","adult",1
651,"no","3","male",33,0,0,7.8958,"S","Mr.","U","adult",1
411,"no","3","male",39.1,0,0,7.8958,"S","Mr.","U","adult",1
657,"no","3","male",20.6,0,0,7.8958,"S","Mr.","U","adult",1
629,"no","3","male",26,0,0,7.8958,"S","Mr.","U","adult",1
336,"no","3","male",35.2,0,0,7.8958,"S","Mr.","U","adult",1
1026,NA,"3","male",43,0,0,7.8958,"S","Mr.","U","adult",1
385,"no","3","male",33.9,0,0,7.8958,"S","Mr.","U","adult",1
688,"no","3","male",19,0,0,10.1708,"S","Mr.","U","teen",1
1226,NA,"3","male",27,0,0,7.8958,"S","Mr.","U","adult",1
948,NA,"3","male",35,0,0,7.8958,"S","Mr.","U","adult",1
647,"no","3","male",19,0,0,7.8958,"S","Mr.","U","teen",1
952,NA,"3","male",17,0,0,7.8958,"S","Mr.","U","teen",1
295,"no","3","male",24,0,0,7.8958,"S","Mr.","U","adult",1
224,"no","3","male",28.5,0,0,7.8958,"S","Mr.","U","adult",1
1157,NA,"3","male",32.9,0,0,7.8958,"S","Mr.","U","adult",1
294,"no","3","female",24,0,0,8.85,"S","Miss.","U","adult",1
50,"no","3","female",18,1,0,17.8,"S","Mrs.","U","teen",2
354,"no","3","male",25,1,0,17.8,"S","Mr.","U","adult",2
975,NA,"3","male",45.1,0,0,7.8958,"S","Mr.","U","adult",1
286,"no","3","male",33,0,0,8.6625,"C","Mr.","U","adult",1
456,"yes","3","male",29,0,0,7.8958,"C","Mr.","U","adult",1
131,"no","3","male",33,0,0,7.8958,"C","Mr.","U","adult",1
520,"no","3","male",32,0,0,7.8958,"S","Mr.","U","adult",1
314,"no","3","male",28,0,0,7.8958,"S","Mr.","U","adult",1
798,"yes","3","female",31,0,0,8.6833,"S","Mrs.","U","adult",1
101,"no","3","female",28,0,0,7.8958,"S","Miss.","U","adult",1
607,"no","3","male",30,0,0,7.8958,"S","Mr.","U","adult",1
190,"no","3","male",36,0,0,7.8958,"S","Mr.","U","adult",1
871,"no","3","male",26,0,0,7.8958,"S","Mr.","U","adult",1
109,"no","3","male",38,0,0,7.8958,"S","Mr.","U","adult",1
1101,NA,"3","male",25,0,0,7.8958,"S","Mr.","U","adult",1
562,"no","3","male",40,0,0,7.8958,"S","Mr.","U","adult",1
522,"no","3","male",22,0,0,7.8958,"S","Mr.","U","adult",1
43,"no","3","male",36.6,0,0,7.8958,"C","Mr.","U","adult",1
421,"no","3","male",36.8,0,0,7.8958,"C","Mr.","U","adult",1
1043,NA,"3","male",40.4,0,0,7.8958,"C","Mr.","U","adult",1
692,"yes","3","female",4,0,1,13.4167,"C","Miss.","U","child",2
932,NA,"3","male",39,0,1,13.4167,"C","Mr.","U","adult",2
882,"no","3","male",33,0,0,7.8958,"S","Mr.","U","adult",1
8,"no","3","male",2,3,1,21.075,"S","Master.","U","child",5
375,"no","3","female",3,3,1,21.075,"S","Miss.","U","child",5
25,"no","3","female",8,3,1,21.075,"S","Miss.","U","child",5
568,"no","3","female",29,0,4,21.075,"S","Mrs.","U","adult",5
1281,NA,"3","male",6,3,1,21.075,"S","Master.","U","child",5
606,"no","3","male",36,1,0,15.55,"S","Mr.","U","adult",2
1251,NA,"3","female",30,1,0,15.55,"S","Mrs.","U","adult",2
1278,NA,"3","male",24,0,0,7.775,"S","Mr.","U","adult",1
676,"no","3","male",18,0,0,7.775,"S","Mr.","U","teen",1
705,"no","3","male",26,1,0,7.8542,"S","Mr.","U","adult",2
861,"no","3","male",41,2,0,14.1083,"S","Mr.","U","adult",3
1201,NA,"3","female",45,1,0,14.1083,"S","Mrs.","U","adult",2
624,"no","3","male",21,0,0,7.8542,"S","Mr.","U","adult",1
987,NA,"3","male",25,0,0,7.7958,"S","Mr.","U","adult",1
392,"yes","3","male",21,0,0,7.7958,"S","Mr.","U","adult",1
500,"no","3","male",24,0,0,7.7958,"S","Mr.","U","adult",1
689,"no","3","male",18,0,0,7.7958,"S","Mr.","U","teen",1
757,"no","3","male",28,0,0,7.7958,"S","Mr.","U","adult",1
147,"yes","3","male",27,0,0,7.7958,"S","Mr.","U","adult",1
1018,NA,"3","male",22,0,0,7.7958,"S","Mr.","U","adult",1
193,"yes","3","female",19,1,0,7.8542,"S","Miss.","U","teen",2
772,"no","3","male",48,0,0,7.8542,"S","Mr.","U","adult",1
722,"no","3","male",17,1,0,7.0542,"S","Mr.","U","teen",2
641,"no","3","male",20,0,0,7.8542,"S","Mr.","U","adult",1
396,"no","3","male",22,0,0,7.7958,"S","Mr.","U","adult",1
1115,NA,"3","male",21,0,0,7.7958,"S","Mr.","U","adult",1
1118,NA,"3","male",23,0,0,7.7958,"S","Mr.","U","adult",1
479,"no","3","male",22,0,0,7.5208,"S","Mr.","U","adult",1
1233,NA,"3","male",32,0,0,7.5792,"S","Mr.","U","adult",1
176,"no","3","male",18,1,1,7.8542,"S","Mr.","U","teen",3
1155,NA,"3","female",1,1,1,12.1833,"S","Miss.","U","child",3
1045,NA,"3","female",36,0,2,12.1833,"S","Mrs.","U","adult",3
15,"no","3","female",14,0,0,7.8542,"S","Miss.","U","teen",1
397,"no","3","female",31,0,0,7.8542,"S","Miss.","U","adult",1
1210,NA,"3","male",27,0,0,7.8542,"S","Mr.","U","adult",1
1027,NA,"3","male",24,0,0,7.8542,"S","Mr.","U","adult",1
1153,NA,"3","male",21,0,0,7.8542,"S","Mr.","U","adult",1
1127,NA,"3","male",20,0,0,7.8542,"S","Mr.","U","adult",1
570,"yes","3","male",32,0,0,7.8542,"S","Mr.","U","adult",1
394,"yes","1","female",23,1,0,113.275,"C","Miss.","D","adult",2
216,"yes","1","female",31,1,0,113.275,"C","Miss.","D","adult",2
660,"no","1","male",58,0,2,113.275,"C","Mr.","D","adult",3
125,"no","1","male",54,0,1,77.2875,"S","Mr.","D","adult",2
103,"no","1","male",21,0,1,77.2875,"S","Mr.","D","adult",2
157,"yes","3","female",16,0,0,7.7333,"Q","Miss.","U","teen",1
698,"yes","3","female",23,0,0,7.7333,"Q","Miss.","U","adult",1
